issuerTradingSymbol,relationship,date,transaction_type,cost,shares,value,shares_total
IOT,10% Owner,2025-03-10,Conversion of Security,0,219698,0.0,219698
IOT,10% Owner,2025-03-10,Conversion of Security,0,73233,0.0,73233
IOT,10% Owner,2025-03-10,Sale,34.06,169818,5784001.08,49880
IOT,10% Owner,2025-03-10,Sale,34.06,56606,1928000.36,16627
IOT,10% Owner,2025-03-10,Sale,34.62,49880,1726845.6,0
IOT,10% Owner,2025-03-10,Sale,34.62,16627,575626.74,0
IOT,10% Owner,2024-12-09,Other Acquisition or Disposition (See Footnotes),0,2401999,0.0,0
IOT,10% Owner,2024-12-09,Other Acquisition or Disposition (See Footnotes),0,10949016,0.0,0
IOT,10% Owner,2024-12-09,Other Acquisition or Disposition (See Footnotes),0,994901,0.0,0
IOT,10% Owner,2024-12-09,Other Acquisition or Disposition (See Footnotes),0,866961,0.0,1659115
IOT,10% Owner,2024-12-09,Other Acquisition or Disposition (See Footnotes),0,36129,0.0,36129
IOT,10% Owner,2024-12-10,Conversion of Security,0,76251,0.0,76251
IOT,10% Owner,2024-12-10,Sale,45.47,50428,2292961.16,25823
IOT,10% Owner,2024-12-10,Sale,46.48,14579,677631.92,11244
IOT,10% Owner,2024-12-10,Sale,47.43,11075,525287.25,169
IOT,10% Owner,2024-12-10,Sale,48.04,169,8118.76,0
IOT,10% Owner,2024-12-10,Sale,45.40,26729,1213496.6,9400
IOT,10% Owner,2024-12-10,Sale,46.40,3316,153862.4,6084
IOT,10% Owner,2024-12-10,Sale,47.51,5888,279738.88,196
IOT,10% Owner,2024-12-10,Sale,48.05,196,9417.8,0
IOT,10% Owner,2024-12-09,Conversion of Security,0,2401999,0.0,2401999
IOT,10% Owner,2024-12-09,Conversion of Security,0,10949016,0.0,10949016
IOT,10% Owner,2024-12-09,Conversion of Security,0,994901,0.0,994901
IOT,10% Owner,2024-09-10,Other Acquisition or Disposition (See Footnotes),0,2401999,0.0,0
IOT,10% Owner,2024-09-10,Other Acquisition or Disposition (See Footnotes),0,10949016,0.0,0
IOT,10% Owner,2024-09-10,Other Acquisition or Disposition (See Footnotes),0,994901,0.0,0
IOT,10% Owner,2024-09-10,Other Acquisition or Disposition (See Footnotes),0,762357,0.0,792154
IOT,10% Owner,2024-09-10,Other Acquisition or Disposition (See Footnotes),0,30491,0.0,30491
IOT,10% Owner,2024-09-11,Sale,44.34,9604,425841.36,20887
IOT,10% Owner,2024-09-11,Sale,45.28,9959,450943.52,10928
IOT,10% Owner,2024-09-11,Sale,45.94,10928,502032.32,0
IOT,10% Owner,2024-09-11,Conversion of Security,0,211144,0.0,211144
IOT,10% Owner,2024-09-11,Conversion of Security,0,88903,0.0,88903
IOT,10% Owner,2024-09-11,Sale,42.75,493,21075.75,210651
IOT,10% Owner,2024-09-11,Sale,42.75,207,8849.25,88696
IOT,10% Owner,2024-09-11,Sale,44.13,48259,2129669.67,162392
IOT,10% Owner,2024-09-11,Sale,44.13,20320,896721.6,68376
IOT,10% Owner,2024-09-11,Sale,44.80,76005,3405024.0,86387
IOT,10% Owner,2024-09-11,Sale,44.80,32002,1433689.6,36374
IOT,10% Owner,2024-09-11,Sale,45.79,86387,3955660.73,0
IOT,10% Owner,2024-09-11,Sale,45.79,36374,1665565.46,0
IOT,10% Owner,2024-09-10,Conversion of Security,0,2401999,0.0,2401999
IOT,10% Owner,2024-09-10,Conversion of Security,0,10949016,0.0,10949016
IOT,10% Owner,2024-09-10,Conversion of Security,0,994901,0.0,994901
IOT,10% Owner,2024-06-13,Conversion of Security,0,277484,0.0,277484
IOT,10% Owner,2024-06-13,Sale,28.84,265276,7650559.84,12208
IOT,10% Owner,2024-06-13,Sale,29.72,12208,362821.76,0
IOT,,2023-12-14,Conversion of Security,0.00,270325,0.0,270325
IOT,,2023-12-14,Sale,35.40,237088,8392915.2,33237
IOT,,2023-12-14,Sale,36.30,33235,1206430.5,2
IOT,,2023-12-14,Sale,36.90,2,73.8,0
EQRX,,2023-11-09,Tender Offer,,12264,,0
EQRX,,2023-11-09,Tender Offer,,17438465,,0
EQRX,,2023-11-09,Tender Offer,,19192015,,0
EQRX,,2023-11-09,Tender Offer,,11433677,,0
EQRX,,2023-11-09,Tender Offer,,5000000,,0
IOT,,2023-09-08,Conversion of Security,0.00,80978,0.0,80978
IOT,,2023-09-08,Sale,30.781,64464,1984266.38,16514
IOT,,2023-09-08,Sale,31.478,16514,519827.69,0
IOT,,2023-09-08,Conversion of Security,0.00,310952,0.0,310952
IOT,,2023-09-08,Sale,30.781,247538,7619467.18,63414
IOT,,2023-09-08,Sale,31.478,63414,1996145.89,0
IOT,,2023-06-08,Conversion of Security,0.00,36038,0.0,36038
IOT,,2023-06-08,Sale,27.7488,36038,1000011.25,0
IOT,,2023-06-08,Conversion of Security,0.00,331545,0.0,331545
IOT,,2023-06-08,Sale,27.7488,331545,9199975.9,0
IOT,,2023-03-08,Conversion of Security,0.00,360983,0.0,360983
IOT,,2023-03-08,Sale,20.9151,360983,7549995.54,0
IOT,,2022-09-06,Conversion of Security,0.00,3271524,0.0,3271524
IOT,,2022-09-06,Other Acquisition or Disposition (See Footnotes),0.00,3271524,0.0,0
IOT,,2022-09-06,Other Acquisition or Disposition (See Footnotes),0.00,29797,0.0,29797
IOT,,2022-09-06,Other Acquisition or Disposition (See Footnotes),0.00,242,0.0,242
IOT,,2022-09-07,Sale,12.5411,242,3034.95,0
IOT,,2021-12-17,Purchase,23.00,3995652,91899996.0,3995652
COIN,,2021-05-21,Conversion of Security,0.00,5220839,0.0,5220839
COIN,,2021-05-21,Conversion of Security,0.00,454334,0.0,454334
COIN,,2021-05-21,Conversion of Security,0.00,322110,0.0,425185
COIN,,2021-05-21,Other Acquisition or Disposition (See Footnotes),0.00,425185,0.0,0
COIN,,2021-05-21,Other Acquisition or Disposition (See Footnotes),0.00,425185,0.0,5646024
COIN,,2021-05-21,Other Acquisition or Disposition (See Footnotes),0.00,5542949,0.0,103075
COIN,,2021-05-21,Other Acquisition or Disposition (See Footnotes),0.00,454334,0.0,0
COIN,,2021-05-21,Other Acquisition or Disposition (See Footnotes),0.00,1154711,0.0,2263232
COIN,,2021-05-21,Other Acquisition or Disposition (See Footnotes),0.00,17473,0.0,17473
